Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1200
Conversion Gain:,1024
Coarse Gain:,2
Fine Gain:,1.0
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,300.56
Elapsed Live Time:,292.99
Start Time:,February 13, 2017, 04:48:22
End Time:,February 13, 2017, 04:53:22
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,2
3,,5
4,,5
5,,15
6,,359
7,,912
8,,1355
9,,2117
10,,3654
11,,8252
12,,19542
13,,40531
14,,61664
15,,62746
16,,43530
17,,23405
18,,11159
19,,4518
20,,2122
21,,1505
22,,1556
23,,1707
24,,2092
25,,2571
26,,2882
27,,3134
28,,2923
29,,2647
30,,2319
31,,2163
32,,2237
33,,2587
34,,2850
35,,3271
36,,3793
37,,4468
38,,5325
39,,6624
40,,8724
41,,11399
42,,14418
43,,16934
44,,17526
45,,15439
46,,11856
47,,7972
48,,4560
49,,2501
50,,1496
51,,1063
52,,758
53,,780
54,,854
55,,850
56,,866
57,,841
58,,905
59,,986
60,,989
61,,1019
62,,988
63,,1100
64,,1104
65,,1016
66,,935
67,,947
68,,945
69,,880
70,,868
71,,878
72,,867
73,,896
74,,923
75,,927
76,,950
77,,1006
78,,1001
79,,1114
80,,1108
81,,1139
82,,1128
83,,1252
84,,1239
85,,1331
86,,1336
87,,1273
88,,1260
89,,1268
90,,1264
91,,1242
92,,1262
93,,1205
94,,1221
95,,1176
96,,1140
97,,1158
98,,1141
99,,1205
100,,1132
101,,1123
102,,1167
103,,1091
104,,1153
105,,1018
106,,1012
107,,1027
108,,1037
109,,964
110,,941
111,,944
112,,865
113,,919
114,,887
115,,871
116,,823
117,,836
118,,792
119,,777
120,,727
121,,701
122,,711
123,,700
124,,675
125,,633
126,,576
127,,564
128,,535
129,,558
130,,534
131,,513
132,,557
133,,550
134,,622
135,,572
136,,691
137,,725
138,,797
139,,819
140,,969
141,,1027
142,,1035
143,,1128
144,,1201
145,,1219
146,,1336
147,,1433
148,,1475
149,,1549
150,,1578
151,,1705
152,,1761
153,,1835
154,,1862
155,,1965
156,,2004
157,,2172
158,,2103
159,,2077
160,,2039
161,,2018
162,,1860
163,,1898
164,,1721
165,,1672
166,,1556
167,,1466
168,,1337
169,,1222
170,,1193
171,,1204
172,,1297
173,,1309
174,,1514
175,,1707
176,,1973
177,,2259
178,,2620
179,,2906
180,,3234
181,,3515
182,,3799
183,,4109
184,,4353
185,,4504
186,,4640
187,,4744
188,,4638
189,,4714
190,,4432
191,,4379
192,,4168
193,,3875
194,,3530
195,,3256
196,,2872
197,,2598
198,,2304
199,,2060
200,,1820
201,,1543
202,,1430
203,,1294
204,,1042
205,,923
206,,821
207,,761
208,,693
209,,577
210,,551
211,,496
212,,397
213,,338
214,,297
215,,280
216,,233
217,,168
218,,142
219,,151
220,,113
221,,96
222,,99
223,,85
224,,76
225,,91
226,,81
227,,87
228,,103
229,,69
230,,90
231,,74
232,,81
233,,77
234,,82
235,,71
236,,94
237,,79
238,,64
239,,55
240,,66
241,,78
242,,72
243,,53
244,,43
245,,45
246,,37
247,,48
248,,34
249,,50
250,,22
251,,21
252,,21
253,,23
254,,22
255,,18
256,,24
257,,22
258,,15
259,,15
260,,17
261,,26
262,,14
263,,20
264,,16
265,,12
266,,13
267,,19
268,,21
269,,17
270,,10
271,,10
272,,8
273,,13
274,,17
275,,15
276,,7
277,,10
278,,9
279,,8
280,,8
281,,21
282,,12
283,,17
284,,13
285,,10
286,,12
287,,14
288,,13
289,,13
290,,10
291,,12
292,,8
293,,11
294,,10
295,,10
296,,10
297,,15
298,,15
299,,14
300,,21
301,,16
302,,13
303,,14
304,,12
305,,19
306,,11
307,,9
308,,9
309,,6
310,,10
311,,15
312,,12
313,,11
314,,13
315,,8
316,,11
317,,19
318,,9
319,,10
320,,11
321,,12
322,,12
323,,15
324,,6
325,,11
326,,8
327,,10
328,,4
329,,11
330,,13
331,,8
332,,10
333,,10
334,,6
335,,7
336,,6
337,,8
338,,5
339,,5
340,,10
341,,9
342,,5
343,,7
344,,9
345,,13
346,,6
