Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1200
Conversion Gain:,1024
Coarse Gain:,2
Fine Gain:,1.0
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,232.79
Elapsed Live Time:,230.98
Start Time:,February 13, 2017, 04:31:19
End Time:,February 13, 2017, 04:35:12
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,2
6,,46
7,,112
8,,115
9,,143
10,,132
11,,180
12,,190
13,,210
14,,259
15,,224
16,,263
17,,256
18,,267
19,,284
20,,302
21,,307
22,,305
23,,291
24,,285
25,,280
26,,291
27,,270
28,,269
29,,314
30,,324
31,,300
32,,315
33,,326
34,,345
35,,418
36,,479
37,,503
38,,584
39,,667
40,,662
41,,609
42,,581
43,,518
44,,480
45,,432
46,,450
47,,417
48,,409
49,,381
50,,382
51,,325
52,,325
53,,320
54,,328
55,,302
56,,287
57,,328
58,,303
59,,288
60,,347
61,,310
62,,321
63,,321
64,,343
65,,336
66,,340
67,,303
68,,331
69,,286
70,,327
71,,335
72,,331
73,,344
74,,316
75,,338
76,,319
77,,350
78,,336
79,,323
80,,320
81,,312
82,,300
83,,296
84,,348
85,,300
86,,327
87,,328
88,,301
89,,305
90,,302
91,,314
92,,308
93,,312
94,,319
95,,313
96,,314
97,,293
98,,329
99,,304
100,,331
101,,309
102,,333
103,,327
104,,316
105,,288
106,,347
107,,328
108,,339
109,,339
110,,342
111,,376
112,,357
113,,368
114,,389
115,,402
116,,424
117,,426
118,,414
119,,406
120,,435
121,,422
122,,444
123,,420
124,,412
125,,400
126,,384
127,,408
128,,390
129,,396
130,,403
131,,341
132,,360
133,,396
134,,411
135,,365
136,,346
137,,370
138,,364
139,,350
140,,333
141,,361
142,,340
143,,377
144,,379
145,,331
146,,360
147,,352
148,,347
149,,333
150,,330
151,,333
152,,332
153,,325
154,,323
155,,315
156,,348
157,,332
158,,355
159,,316
160,,331
161,,329
162,,327
163,,325
164,,333
165,,318
166,,334
167,,323
168,,323
169,,291
170,,307
171,,321
172,,292
173,,318
174,,299
175,,304
176,,303
177,,302
178,,300
179,,302
180,,296
181,,302
182,,297
183,,269
184,,313
185,,328
186,,232
187,,241
188,,288
189,,263
190,,253
191,,274
192,,249
193,,292
194,,260
195,,254
196,,258
197,,269
198,,246
199,,255
200,,235
201,,248
202,,269
203,,233
204,,251
205,,234
206,,227
207,,244
208,,231
209,,259
210,,238
211,,241
212,,242
213,,267
214,,262
215,,235
216,,224
217,,214
218,,203
219,,234
220,,246
221,,239
222,,229
223,,241
224,,199
225,,206
226,,228
227,,213
228,,232
229,,217
230,,217
231,,231
232,,217
233,,208
234,,192
235,,214
236,,202
237,,237
238,,191
239,,188
240,,185
241,,208
242,,217
243,,185
244,,198
245,,184
246,,183
247,,183
248,,198
249,,208
250,,215
251,,219
252,,213
253,,186
254,,210
255,,193
256,,200
257,,188
258,,195
259,,204
260,,217
261,,189
262,,210
263,,208
264,,195
265,,202
266,,209
267,,195
268,,194
269,,192
270,,172
271,,211
272,,203
273,,170
274,,207
275,,200
276,,196
277,,181
278,,175
279,,180
280,,177
281,,188
282,,187
283,,178
284,,173
285,,190
286,,178
287,,183
288,,185
289,,183
290,,175
291,,196
292,,175
293,,163
294,,177
295,,187
296,,160
297,,174
298,,189
299,,193
300,,167
301,,187
302,,164
303,,184
304,,191
305,,180
306,,169
307,,167
308,,173
309,,178
310,,159
311,,208
312,,198
313,,197
314,,204
315,,196
316,,204
317,,179
318,,178
319,,193
320,,191
321,,186
322,,171
323,,190
324,,162
325,,177
326,,214
327,,203
328,,171
329,,166
330,,167
331,,180
332,,197
333,,175
334,,185
335,,172
336,,149
337,,184
338,,180
339,,188
340,,185
341,,189
342,,164
343,,179
344,,141
345,,172
346,,172
347,,169
348,,189
349,,173
350,,181
351,,165
352,,168
353,,192
354,,177
355,,178
356,,194
357,,165
358,,190
359,,172
360,,191
361,,172
362,,183
363,,183
364,,170
365,,182
366,,161
367,,209
368,,206
369,,178
370,,175
371,,206
372,,186
373,,175
374,,192
375,,177
