Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1200
Conversion Gain:,1024
Coarse Gain:,64
Fine Gain:,1.00
Upper Discriminator:,1048
Lower Discriminator:,103
Calibration Coefficients:Elapsed Real Time:,301.32
Elapsed Live Time:,299.74
Start Time:,February 13, 2017, 03:24:43
End Time:,February 13, 2017, 03:29:45
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,,0
59,,0
60,,0
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
71,,0
72,,0
73,,0
74,,0
75,,0
76,,0
77,,0
78,,0
79,,0
80,,0
81,,0
82,,0
83,,0
84,,0
85,,0
86,,0
87,,0
88,,0
89,,0
90,,0
91,,0
92,,0
93,,0
94,,0
95,,0
96,,0
97,,1
98,,2
99,,26
100,,19
101,,12
102,,15
103,,12
104,,20
105,,17
106,,17
107,,21
108,,20
109,,23
110,,15
111,,19
112,,18
113,,25
114,,18
115,,23
116,,24
117,,31
118,,22
119,,15
120,,22
121,,18
122,,15
123,,15
124,,12
125,,17
126,,11
127,,12
128,,15
129,,19
130,,27
131,,12
132,,13
133,,23
134,,17
135,,11
136,,11
137,,13
138,,16
139,,18
140,,13
141,,26
142,,16
143,,10
144,,22
145,,12
146,,12
147,,12
148,,12
149,,12
150,,14
151,,11
152,,10
153,,10
154,,14
155,,11
156,,18
157,,9
158,,18
159,,11
160,,10
161,,8
162,,6
163,,16
164,,8
165,,15
166,,6
167,,11
168,,10
169,,7
170,,12
171,,15
172,,9
173,,2
174,,10
175,,5
176,,12
177,,9
178,,10
179,,9
180,,12
181,,11
182,,7
183,,14
184,,11
185,,7
186,,12
187,,8
188,,6
189,,7
190,,10
191,,9
192,,11
193,,6
194,,9
195,,14
196,,7
197,,14
198,,7
199,,12
200,,15
201,,8
202,,14
203,,6
204,,10
205,,6
206,,8
207,,20
208,,13
209,,13
210,,8
211,,7
212,,13
213,,11
214,,10
215,,13
216,,6
217,,10
218,,16
219,,13
220,,11
221,,11
222,,14
223,,10
224,,7
225,,10
226,,12
227,,11
228,,11
229,,11
230,,11
231,,10
232,,9
233,,7
234,,7
235,,6
236,,10
237,,17
238,,10
239,,7
240,,10
241,,10
242,,10
243,,10
244,,5
245,,9
246,,12
247,,5
248,,5
249,,14
250,,9
251,,6
252,,8
253,,13
254,,22
255,,10
256,,6
257,,10
258,,12
259,,14
260,,6
261,,8
262,,14
263,,18
264,,14
265,,14
266,,12
267,,15
268,,10
269,,11
270,,12
271,,17
272,,14
273,,17
274,,7
275,,15
276,,12
277,,11
278,,6
279,,10
280,,10
281,,7
282,,10
283,,11
284,,6
285,,10
286,,16
287,,9
288,,13
289,,10
290,,7
291,,10
292,,8
293,,12
294,,13
295,,7
296,,12
297,,13
298,,9
299,,7
300,,12
301,,12
302,,10
303,,7
304,,14
305,,7
306,,11
307,,6
308,,11
309,,10
310,,11
311,,14
312,,15
313,,13
314,,12
315,,19
316,,12
317,,8
318,,12
319,,10
320,,13
321,,20
322,,15
323,,7
324,,9
325,,13
326,,10
327,,13
328,,11
329,,14
330,,5
331,,13
332,,13
333,,15
334,,6
335,,11
336,,15
337,,12
338,,17
339,,9
340,,13
341,,10
342,,13
343,,9
344,,9
345,,7
346,,12
347,,22
348,,12
349,,12
350,,10
351,,9
352,,18
353,,10
354,,12
355,,15
356,,11
357,,4
358,,17
359,,7
360,,13
361,,13
362,,15
363,,12
364,,14
365,,10
366,,7
367,,15
368,,18
369,,10
370,,11
371,,13
372,,12
373,,5
374,,16
375,,15
