Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1200
Conversion Gain:,1024
Coarse Gain:,2
Fine Gain:,1.0
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,167.83
Elapsed Live Time:,166.85
Start Time:,February 13, 2017, 04:25:14
End Time:,February 13, 2017, 04:29:13
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,1
4,,0
5,,0
6,,35
7,,67
8,,105
9,,114
10,,171
11,,262
12,,397
13,,877
14,,1427
15,,1934
16,,1754
17,,1102
18,,647
19,,420
20,,299
21,,251
22,,242
23,,221
24,,193
25,,231
26,,181
27,,191
28,,232
29,,213
30,,215
31,,253
32,,244
33,,260
34,,270
35,,295
36,,348
37,,390
38,,451
39,,490
40,,509
41,,480
42,,411
43,,391
44,,371
45,,351
46,,310
47,,328
48,,273
49,,272
50,,274
51,,231
52,,242
53,,249
54,,246
55,,226
56,,228
57,,210
58,,243
59,,227
60,,234
61,,255
62,,256
63,,241
64,,227
65,,246
66,,242
67,,256
68,,270
69,,277
70,,242
71,,249
72,,225
73,,254
74,,236
75,,215
76,,247
77,,228
78,,218
79,,270
80,,233
81,,241
82,,242
83,,229
84,,237
85,,240
86,,250
87,,262
88,,222
89,,244
90,,246
91,,226
92,,252
93,,243
94,,273
95,,260
96,,253
97,,282
98,,308
99,,305
100,,339
101,,326
102,,342
103,,318
104,,313
105,,305
106,,317
107,,309
108,,347
109,,337
110,,327
111,,330
112,,310
113,,324
114,,323
115,,325
116,,329
117,,305
118,,282
119,,282
120,,324
121,,309
122,,267
123,,318
124,,300
125,,288
126,,267
127,,291
128,,289
129,,287
130,,284
131,,286
132,,293
133,,276
134,,240
135,,283
136,,254
137,,275
138,,250
139,,260
140,,266
141,,226
142,,274
143,,231
144,,219
145,,243
146,,242
147,,241
148,,269
149,,245
150,,240
151,,228
152,,225
153,,250
154,,226
155,,222
156,,242
157,,200
158,,239
159,,229
160,,204
161,,242
162,,243
163,,180
164,,200
165,,210
166,,182
167,,204
168,,226
169,,191
170,,220
171,,202
172,,203
173,,175
174,,190
175,,194
176,,165
177,,196
178,,192
179,,170
180,,222
181,,210
182,,201
183,,206
184,,174
185,,175
186,,183
187,,193
188,,172
189,,180
190,,155
191,,172
192,,173
193,,183
194,,196
195,,168
196,,158
197,,166
198,,162
199,,186
200,,187
201,,168
202,,168
203,,165
204,,178
205,,187
206,,152
207,,163
208,,178
209,,182
210,,161
211,,168
212,,160
213,,174
214,,175
215,,162
216,,175
217,,181
218,,178
219,,165
220,,166
221,,134
222,,185
223,,162
224,,157
225,,162
226,,168
227,,158
228,,169
229,,177
230,,182
231,,178
232,,169
233,,161
234,,174
235,,163
236,,133
237,,134
238,,155
239,,156
240,,127
241,,128
242,,106
243,,124
244,,98
245,,125
246,,99
247,,97
248,,93
249,,78
250,,70
251,,82
252,,63
253,,66
254,,72
255,,55
256,,52
257,,58
258,,70
259,,45
260,,51
261,,49
262,,46
263,,49
264,,44
265,,42
266,,49
267,,45
268,,37
269,,37
270,,47
271,,29
272,,39
273,,30
274,,28
275,,23
276,,24
277,,25
278,,31
279,,27
280,,24
281,,18
282,,31
283,,22
284,,24
285,,34
286,,20
287,,20
288,,19
289,,21
290,,15
291,,18
292,,19
293,,26
294,,22
295,,30
296,,35
297,,11
298,,26
299,,22
300,,25
301,,29
302,,22
303,,19
304,,22
305,,19
306,,22
307,,35
308,,34
309,,25
310,,49
311,,43
312,,51
313,,75
314,,74
315,,88
316,,91
317,,112
318,,149
319,,168
320,,198
321,,195
322,,222
323,,265
324,,318
325,,341
326,,408
327,,414
328,,466
329,,481
330,,536
331,,548
332,,606
333,,685
334,,722
335,,772
336,,803
337,,834
338,,859
339,,870
340,,942
341,,903
342,,876
343,,876
344,,893
345,,912
346,,855
347,,824
348,,747
349,,731
350,,718
351,,644
352,,601
353,,599
354,,493
355,,461
356,,442
357,,356
358,,345
359,,309
360,,240
361,,218
362,,179
363,,156
364,,130
365,,106
366,,98
367,,80
368,,57
369,,59
370,,54
371,,27
372,,27
373,,24
374,,23
