Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1200
Conversion Gain:,1024
Coarse Gain:,2
Fine Gain:,1.0
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,207.02
Elapsed Live Time:,205.35
Start Time:,February 13, 2017, 04:37:20
End Time:,February 13, 2017, 04:40:46
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,2
6,,53
7,,136
8,,149
9,,189
10,,207
11,,241
12,,258
13,,312
14,,368
15,,350
16,,346
17,,343
18,,396
19,,384
20,,377
21,,384
22,,393
23,,401
24,,362
25,,353
26,,326
27,,395
28,,360
29,,399
30,,388
31,,386
32,,400
33,,409
34,,458
35,,532
36,,627
37,,771
38,,791
39,,892
40,,920
41,,886
42,,762
43,,711
44,,621
45,,609
46,,567
47,,565
48,,523
49,,434
50,,465
51,,409
52,,406
53,,405
54,,399
55,,396
56,,388
57,,409
58,,363
59,,414
60,,413
61,,391
62,,406
63,,375
64,,404
65,,406
66,,415
67,,416
68,,451
69,,399
70,,383
71,,432
72,,370
73,,372
74,,384
75,,376
76,,423
77,,405
78,,414
79,,407
80,,436
81,,432
82,,408
83,,402
84,,414
85,,426
86,,462
87,,414
88,,427
89,,468
90,,475
91,,450
92,,467
93,,489
94,,486
95,,481
96,,541
97,,531
98,,491
99,,486
100,,476
101,,524
102,,468
103,,520
104,,441
105,,489
106,,489
107,,492
108,,471
109,,524
110,,496
111,,517
112,,477
113,,522
114,,532
115,,496
116,,497
117,,495
118,,494
119,,520
120,,514
121,,538
122,,507
123,,498
124,,471
125,,507
126,,512
127,,490
128,,505
129,,498
130,,443
131,,481
132,,483
133,,505
134,,447
135,,439
136,,445
137,,447
138,,430
139,,461
140,,449
141,,450
142,,446
143,,433
144,,421
145,,422
146,,430
147,,440
148,,431
149,,385
150,,416
151,,389
152,,409
153,,417
154,,427
155,,426
156,,415
157,,373
158,,391
159,,407
160,,383
161,,416
162,,381
163,,391
164,,372
165,,378
166,,333
167,,341
168,,378
169,,327
170,,335
171,,338
172,,295
173,,287
174,,309
175,,298
176,,264
177,,255
178,,269
179,,244
180,,224
181,,251
182,,207
183,,211
184,,201
185,,235
186,,189
187,,192
188,,182
189,,174
190,,191
191,,164
192,,164
193,,195
194,,182
195,,122
196,,146
197,,153
198,,155
199,,174
200,,139
201,,115
202,,147
203,,135
204,,104
205,,137
206,,131
207,,142
208,,136
209,,137
210,,110
211,,130
212,,120
213,,131
214,,101
215,,112
216,,114
217,,115
218,,125
219,,134
220,,131
221,,106
222,,117
223,,105
224,,92
225,,107
226,,109
227,,97
228,,119
229,,101
230,,120
231,,134
232,,98
233,,113
234,,115
235,,102
236,,123
237,,134
238,,135
239,,153
240,,174
241,,180
242,,200
243,,259
244,,266
245,,329
246,,323
247,,423
248,,462
249,,537
250,,573
251,,680
252,,764
253,,840
254,,974
255,,1117
256,,1181
257,,1264
258,,1391
259,,1533
260,,1572
261,,1626
262,,1749
263,,1684
264,,1723
265,,1753
266,,1771
267,,1759
268,,1765
269,,1689
270,,1667
271,,1439
272,,1411
273,,1332
274,,1186
275,,1091
276,,1020
277,,920
278,,781
279,,735
280,,585
281,,535
282,,465
283,,381
284,,300
285,,233
286,,200
287,,168
288,,180
289,,142
290,,123
291,,84
292,,80
293,,66
294,,76
295,,69
296,,70
297,,56
298,,53
299,,57
300,,57
301,,53
302,,60
303,,49
304,,56
305,,46
306,,59
307,,53
308,,59
309,,61
310,,45
311,,52
312,,57
313,,46
314,,56
315,,55
316,,65
317,,55
318,,45
319,,43
320,,62
321,,47
322,,58
323,,53
324,,49
325,,56
326,,70
327,,42
328,,43
329,,55
330,,50
331,,44
332,,67
333,,48
334,,58
335,,51
336,,48
337,,49
338,,52
339,,64
340,,39
341,,64
342,,51
343,,54
344,,52
345,,48
346,,61
347,,54
348,,42
349,,56
350,,45
351,,57
352,,45
353,,55
354,,48
355,,37
356,,51
357,,50
358,,55
359,,49
360,,60
361,,46
362,,46
363,,49
364,,50
365,,52
366,,50
367,,55
368,,38
369,,51
370,,54
371,,45
