Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,1200
Conversion Gain:,1024
Coarse Gain:,2
Fine Gain:,1.0
Upper Discriminator:,1048
Lower Discriminator:,14
Calibration Coefficients:Elapsed Real Time:,300.7
Elapsed Live Time:,300.51
Start Time:,February 13, 2017, 04:55:06
End Time:,February 13, 2017, 05:00:06
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,8
7,,8
8,,16
9,,17
10,,31
11,,31
12,,25
13,,35
14,,38
15,,35
16,,41
17,,37
18,,40
19,,41
20,,43
21,,43
22,,51
23,,54
24,,58
25,,50
26,,56
27,,63
28,,78
29,,73
30,,68
31,,93
32,,113
33,,99
34,,109
35,,117
36,,146
37,,150
38,,164
39,,198
40,,165
41,,185
42,,175
43,,179
44,,149
45,,144
46,,155
47,,141
48,,164
49,,126
50,,138
51,,129
52,,125
53,,125
54,,150
55,,142
56,,118
57,,139
58,,129
59,,124
60,,125
61,,117
62,,122
63,,115
64,,118
65,,109
66,,130
67,,120
68,,116
69,,115
70,,109
71,,102
72,,123
73,,102
74,,95
75,,105
76,,111
77,,114
78,,114
79,,97
80,,107
81,,89
82,,105
83,,106
84,,95
85,,99
86,,105
87,,81
88,,69
89,,97
90,,90
91,,77
92,,92
93,,88
94,,104
95,,76
96,,82
97,,84
98,,77
99,,66
100,,76
101,,62
102,,61
103,,73
104,,72
105,,72
106,,74
107,,66
108,,66
109,,59
110,,59
111,,79
112,,74
113,,60
114,,56
115,,59
116,,55
117,,75
118,,79
119,,63
120,,65
121,,53
122,,63
123,,62
124,,63
125,,57
126,,57
127,,61
128,,40
129,,53
130,,48
131,,56
132,,49
133,,46
134,,53
135,,47
136,,41
137,,54
138,,48
139,,49
140,,36
141,,37
142,,46
143,,43
144,,44
145,,43
146,,41
147,,48
148,,42
149,,50
150,,47
151,,34
152,,45
153,,41
154,,42
155,,38
156,,29
157,,36
158,,46
159,,33
160,,33
161,,32
162,,33
163,,33
164,,36
165,,29
166,,26
167,,31
168,,35
169,,33
170,,23
171,,32
172,,34
173,,34
174,,31
175,,42
176,,23
177,,38
178,,29
179,,40
180,,32
181,,26
182,,24
183,,36
184,,41
185,,26
186,,22
187,,25
188,,27
189,,32
190,,31
191,,25
192,,22
193,,23
194,,23
195,,27
196,,26
197,,18
198,,20
199,,23
200,,15
201,,17
202,,20
203,,23
204,,18
205,,21
206,,23
207,,27
208,,16
209,,18
210,,20
211,,16
212,,22
213,,19
214,,16
215,,22
216,,19
217,,18
218,,19
219,,10
220,,23
221,,18
222,,20
223,,10
224,,14
225,,10
226,,8
227,,15
228,,15
229,,20
230,,16
231,,16
232,,15
233,,9
234,,12
235,,12
236,,18
237,,15
238,,10
239,,16
240,,9
241,,12
242,,15
243,,17
244,,17
245,,18
246,,6
247,,14
248,,14
249,,22
250,,12
251,,9
252,,8
253,,14
254,,16
255,,14
256,,19
257,,8
258,,11
259,,12
260,,11
261,,18
262,,10
263,,17
264,,16
265,,15
266,,13
267,,12
268,,11
269,,9
270,,20
271,,10
272,,18
273,,15
274,,12
275,,11
276,,12
277,,11
278,,13
279,,17
280,,12
281,,14
282,,10
283,,10
284,,8
285,,12
286,,13
287,,11
288,,8
289,,6
290,,9
291,,9
292,,17
293,,11
294,,8
295,,15
296,,10
297,,12
298,,14
299,,10
300,,12
301,,11
302,,12
303,,12
304,,10
305,,10
306,,10
307,,11
308,,12
309,,11
310,,17
311,,8
312,,10
313,,10
314,,12
315,,11
316,,10
317,,13
318,,8
319,,7
320,,11
321,,8
322,,7
323,,5
324,,5
325,,8
326,,10
327,,6
328,,11
329,,11
330,,8
331,,4
332,,12
333,,6
334,,8
335,,12
336,,1
337,,5
338,,6
339,,7
340,,9
341,,5
342,,10
343,,6
344,,3
345,,12
346,,5
347,,6
348,,9
349,,5
350,,9
351,,8
352,,7
353,,6
354,,9
355,,5
356,,3
357,,5
358,,5
359,,6
360,,7
361,,5
362,,8
363,,7
364,,9
365,,6
366,,7
367,,5
368,,13
369,,7
370,,3
371,,13
372,,7
373,,3
374,,5
375,,5
